"m","merr","N","Nerr","L","Lerr","overdensityN","overdensityNerr","overdensityL","overdensityLerr","Rrms","Rrmserr","rsigma2","rsigma2err","sigma3","sigma3err"
40671428571428.6,0.0794871794871795,99.0534484446784,0.135138601534795,435679787543.424,0.146286691731145,87242807693365.8,0.231580749985096,59283553643268.5,0.361723075511355,740.052837886637,0.0855905846095073,89481761.3906234,0.142216955009762,42044354.9569913,0.220502302749866
82385714285714.3,0.136708860759494,136.748303399361,0.147507839856015,1218627171175.21,0.230822353216216,120830447818338,0.299149711358116,303034756967542,0.688115244197578,634.549815331708,0.0858979202649104,213422233.253223,0.213223507557746,195056715.504653,0.352138678914388
55062857142857.1,0.148674242424242,52.474248827125,0.200036986773108,269636042857.816,0.254704555596153,57329169891336.2,0.641755479637432,54898236582252.3,0.690045069048775,465.193839921209,0.137917419805323,38958380.48337,0.309779481314512,24235412.1279399,0.413610398162249
71957142857142.9,0.338405797101449,104.987806731917,0.21320071635561,464422598097.241,0.172575811102645,46100274744256.1,0.437984842988739,49962678758157.4,0.464865541604638,630.374689355932,0.106181461887731,118895886.429897,0.287448082236065,81912860.6225391,0.381858780394083
1.31999998e+14,0.218181819214876,340.273401443279,0.0652711585288279,1843008047256.82,0.0895889499169274,274993980662286,0.105510305035925,310736063639067,0.170149302400775,1154.88311237559,0.0476974358333082,624231590.998734,0.0930068919789828,397385090.874822,0.140068686947973
101157142857143,0.252577319587629,383.067108426007,0.142857142857143,1766764859287.8,0.1128781781295,301553031608337,0.40868572692397,327430182357254,0.318092270557987,1201.95968835934,0.0903982760875949,353560417.61527,0.227829421369081,159536699.702661,0.338322383198612
5.30000005e+14,0.141509436400854,482.655105907404,0.100544953148856,2037338610739.42,0.118971768841397,374349673746504,0.178264049185357,301924816160700,0.223677348977916,1128.18451046211,0.0586650241812501,656123210.529984,0.11606900983975,443514581.59282,0.141012524220917
139742857142857,0.164179104477612,363.003114121115,0.109113808222231,1971603058426.29,0.117600531860638,165845310098055,0.264322799521293,235200970213113,0.345611560856371,1107.3735664651,0.0502794370621939,329478061.646207,0.138968327056061,162292527.822411,0.215280920026367
7.1499998e+14,0.239160840256247,1582.27987589779,0.0669822563974702,7200183529596.06,0.0571702342659511,534438423707236,0.153662123009552,544577448707339,0.175994799786321,2398.90457482027,0.0338688034232578,2759773270.58667,0.086760072463547,1233930351.96989,0.126578756313248
93335714285714.3,0.191620111731844,237.183833061711,0.154588663504744,1012858645346.03,0.0966856882575895,208839622647730,0.377650090870478,185640172179792,0.480034519685598,828.958870650432,0.106231146685705,166061060.365875,0.209967443640496,89660722.7152259,0.329161788343235
1.25000003e+15,0.1167999955968,1412.47740816475,0.0796055144879613,7036118640819.04,0.0534662194081425,882390182563368,0.162105019415879,1039565362802752,0.185913837875534,1750.3549998021,0.0383792297808846,1605283338.013,0.124792334109905,878290808.510376,0.181610598035558
2.66999997e+14,0.13932584051677,1743.33237983437,0.0374833147385835,8729547837999.4,0.0431143400581877,475252898129264,0.117868343017522,563292686924002,0.133187846954663,3045.54716127776,0.0219103454384247,3498601718.11603,0.0524342575175803,1231242970.48469,0.0803047723339475
3.15000015e+14,0.134920634845049,990.032669975973,0.0451273277543698,4750142627171.82,0.0612954703412373,188991059127720,0.184452852876574,194889992143689,0.222311991789475,2243.26861535428,0.0191822158712289,909383361.054125,0.0666230716370961,258106288.004012,0.0961087452055395
4.74000006e+14,0.106540080929872,634.853678517744,0.0823613793778164,3289159260042.21,0.088185180533528,413828112851064,0.120008113334506,531694986941757,0.167176807156148,1345.80272527869,0.0457038687952448,973489326.176846,0.137025130781238,615211841.289348,0.212371605508905
50578571428571.4,0.143298969072165,99.8705137552108,0.116296921663079,499257233025.177,0.201872968367962,117078357168297,0.302164522507175,97381410260944,0.398285705835865,581.529393983594,0.0794734455783793,127888172.192125,0.204076723539495,103130723.229569,0.333023212225672
50578571428571.4,0.111340206185567,87.3535938087643,0.142859423875572,400638998219.637,0.252891685588924,66607887335708.2,0.220546276536588,41620712813969.2,0.391601904229029,584.69611176062,0.0808854090079685,120384163.636379,0.171155309552712,93424058.7738263,0.246728934443201
3.6499999e+13,0.120273975897917,43.1443323834663,0.196167170026164,168353616873.677,0.313469146285575,36242703965061,0.452119775719296,15207020278731.8,0.635520635610534,469.031857293493,0.106555187161368,38509603.0947267,0.248295649249704,23526106.1041618,0.358849924149222
20857142857142.9,0.185,129.212885484872,0.137410454706738,731857649366.028,0.137594743754532,65097629692314.3,0.352770826616453,95402714749377.7,0.393623846210361,719.19466489637,0.0631385859565039,171817007.206399,0.169133908607717,116769531.947429,0.237440776338053
8.9899999e+13,0.0562847614714656,179.561628464058,0.105547974035321,778045337238.83,0.155258964569223,134240287106613,0.143435909166135,101724873931551,0.30156192259949,940.205079888663,0.0709645768857217,358282662.970634,0.162275624319365,235236549.38235,0.218134760557811
83428571428571.4,0.169375,199.698424277578,0.140044365366501,1185503057840.28,0.131720117778187,23604415474869,0.463932938769512,42521974827272.1,0.483011232947545,1327.12001788719,0.0666544908720555,528297097.544293,0.156735735093536,251160903.711776,0.211361806864647
86557142857142.9,0.25421686746988,114.458404173477,0.258244525779489,674811813822.523,0.424700169706604,76689152776019.9,0.594452334049526,45334863017545.5,0.640473370020986,584.597382180926,0.115308755842187,71697495.6430967,0.257454044694887,42950742.8949694,0.332113065143799
15434285714285.7,0.202702702702703,22.1448943157848,0.288705172067928,145918775196.326,0.291664259306715,19617248286936,0.452754273905189,23696187338688.1,0.766966523796614,311.272420957141,0.18024698732724,19233192.2888637,0.274077047338826,15359111.5711456,0.361743355213905
